as_of_date,capital_component,amount_ghs,tier
2022-03-11,statutory_reserves,20299605.78,CET1
2022-03-11,retained_earnings,20849540.08,CET1
2022-03-11,credit_risk_reserve,4356741.06,CET1
2022-03-11,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-03-18,paid_up_capital,22000000.00,CET1
2022-03-18,statutory_reserves,20340998.69,CET1
2022-03-18,retained_earnings,20897831.80,CET1
2022-03-18,credit_risk_reserve,4315931.31,CET1
2022-03-18,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-03-25,paid_up_capital,22000000.00,CET1
2022-03-25,statutory_reserves,20382391.59,CET1
2022-03-25,retained_earnings,20946123.52,CET1
2022-03-25,credit_risk_reserve,4328141.37,CET1
2022-03-25,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-03-31,paid_up_capital,22000000.00,CET1
2022-03-31,statutory_reserves,20417871.22,CET1
2022-03-31,retained_earnings,20987516.43,CET1
2022-03-31,credit_risk_reserve,4316636.28,CET1
2022-03-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-04-01,paid_up_capital,22000000.00,CET1
2022-04-01,statutory_reserves,20423784.49,CET1
2022-04-01,retained_earnings,20994415.24,CET1
2022-04-01,credit_risk_reserve,4336291.12,CET1
2022-04-01,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-04-08,paid_up_capital,22000000.00,CET1
2022-04-08,statutory_reserves,20465177.40,CET1
2022-04-08,retained_earnings,21042706.96,CET1
2022-04-08,credit_risk_reserve,4404468.60,CET1
2022-04-08,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-04-15,paid_up_capital,22000000.00,CET1
2022-04-15,statutory_reserves,20506570.30,CET1
2022-04-15,retained_earnings,21090998.69,CET1
2022-04-15,credit_risk_reserve,4318412.96,CET1
2022-04-15,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-04-22,paid_up_capital,22000000.00,CET1
2022-04-22,statutory_reserves,20547963.21,CET1
2022-04-22,retained_earnings,21139290.41,CET1
2022-04-22,credit_risk_reserve,4373530.90,CET1
2022-04-22,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-04-29,paid_up_capital,22000000.00,CET1
2022-04-29,statutory_reserves,20589356.11,CET1
2022-04-29,retained_earnings,21187582.13,CET1
2022-04-29,credit_risk_reserve,4441998.90,CET1
2022-04-29,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-04-30,paid_up_capital,22000000.00,CET1
2022-04-30,statutory_reserves,20595269.38,CET1
2022-04-30,retained_earnings,21194480.95,CET1
2022-04-30,credit_risk_reserve,4346212.34,CET1
2022-04-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-05-06,paid_up_capital,22000000.00,CET1
2022-05-06,statutory_reserves,20630749.01,CET1
2022-05-06,retained_earnings,21235873.85,CET1
2022-05-06,credit_risk_reserve,4359397.60,CET1
2022-05-06,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-05-13,paid_up_capital,22000000.00,CET1
2022-05-13,statutory_reserves,20672141.92,CET1
2022-05-13,retained_earnings,21284165.57,CET1
2022-05-13,credit_risk_reserve,4355442.42,CET1
2022-05-13,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-05-20,paid_up_capital,22000000.00,CET1
2022-05-20,statutory_reserves,20713534.82,CET1
2022-05-20,retained_earnings,21332457.29,CET1
2022-05-20,credit_risk_reserve,4449880.39,CET1
2022-05-20,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-05-27,paid_up_capital,22000000.00,CET1
2022-05-27,statutory_reserves,20754927.73,CET1
2022-05-27,retained_earnings,21380749.01,CET1
2022-05-27,credit_risk_reserve,4399237.37,CET1
2022-05-27,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-05-31,paid_up_capital,22000000.00,CET1
2022-05-31,statutory_reserves,20778580.81,CET1
2022-05-31,retained_earnings,21408344.28,CET1
2022-05-31,credit_risk_reserve,4406157.04,CET1
2022-05-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-06-03,paid_up_capital,22000000.00,CET1
2022-06-03,statutory_reserves,20796320.63,CET1
2022-06-03,retained_earnings,21429040.74,CET1
2022-06-03,credit_risk_reserve,4485474.08,CET1
2022-06-03,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-06-10,paid_up_capital,22000000.00,CET1
2022-06-10,statutory_reserves,20837713.53,CET1
2022-06-10,retained_earnings,21477332.46,CET1
2022-06-10,credit_risk_reserve,4461616.23,CET1
2022-06-10,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-06-17,paid_up_capital,22000000.00,CET1
2022-06-17,statutory_reserves,20879106.44,CET1
2022-06-17,retained_earnings,21525624.18,CET1
2022-06-17,credit_risk_reserve,4392832.49,CET1
2022-06-17,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-06-24,paid_up_capital,22000000.00,CET1
2022-06-24,statutory_reserves,20920499.34,CET1
2022-06-24,retained_earnings,21573915.90,CET1
2022-06-24,credit_risk_reserve,4488505.54,CET1
2022-06-24,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-06-30,paid_up_capital,22000000.00,CET1
2022-06-30,statutory_reserves,20955978.98,CET1
2022-06-30,retained_earnings,21615308.80,CET1
2022-06-30,credit_risk_reserve,4498303.52,CET1
2022-06-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-07-01,paid_up_capital,22000000.00,CET1
2022-07-01,statutory_reserves,20961892.25,CET1
2022-07-01,retained_earnings,21622207.62,CET1
2022-07-01,credit_risk_reserve,4451657.24,CET1
2022-07-01,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-07-08,paid_up_capital,22000000.00,CET1
2022-07-08,statutory_reserves,21003285.15,CET1
2022-07-08,retained_earnings,21670499.34,CET1
2022-07-08,credit_risk_reserve,4496023.91,CET1
2022-07-08,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-07-15,paid_up_capital,22000000.00,CET1
2022-07-15,statutory_reserves,21044678.06,CET1
2022-07-15,retained_earnings,21718791.06,CET1
2022-07-15,credit_risk_reserve,4547164.94,CET1
2022-07-15,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-07-22,paid_up_capital,22000000.00,CET1
2022-07-22,statutory_reserves,21086070.96,CET1
2022-07-22,retained_earnings,21767082.79,CET1
2022-07-22,credit_risk_reserve,4432341.98,CET1
2022-07-22,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-07-29,paid_up_capital,22000000.00,CET1
2022-07-29,statutory_reserves,21127463.86,CET1
2022-07-29,retained_earnings,21815374.51,CET1
2022-07-29,credit_risk_reserve,4485489.55,CET1
2022-07-29,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-07-31,paid_up_capital,22000000.00,CET1
2022-07-31,statutory_reserves,21139290.41,CET1
2022-07-31,retained_earnings,21829172.14,CET1
2022-07-31,credit_risk_reserve,4466369.29,CET1
2022-07-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-08-05,paid_up_capital,22000000.00,CET1
2022-08-05,statutory_reserves,21168856.77,CET1
2022-08-05,retained_earnings,21863666.23,CET1
2022-08-05,credit_risk_reserve,4524157.49,CET1
2022-08-05,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-08-12,paid_up_capital,22000000.00,CET1
2022-08-12,statutory_reserves,21210249.67,CET1
2022-08-12,retained_earnings,21911957.95,CET1
2022-08-12,credit_risk_reserve,4434760.32,CET1
2022-08-12,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-08-19,paid_up_capital,22000000.00,CET1
2022-08-19,statutory_reserves,21251642.58,CET1
2022-08-19,retained_earnings,21960249.67,CET1
2022-08-19,credit_risk_reserve,4539750.40,CET1
2022-08-19,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-08-26,paid_up_capital,22000000.00,CET1
2022-08-26,statutory_reserves,21293035.48,CET1
2022-08-26,retained_earnings,22008541.39,CET1
2022-08-26,credit_risk_reserve,4453867.37,CET1
2022-08-26,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-08-31,paid_up_capital,22000000.00,CET1
2022-08-31,statutory_reserves,21322601.84,CET1
2022-08-31,retained_earnings,22043035.48,CET1
2022-08-31,credit_risk_reserve,4503836.13,CET1
2022-08-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-09-02,paid_up_capital,22000000.00,CET1
2022-09-02,statutory_reserves,21334428.38,CET1
2022-09-02,retained_earnings,22056833.11,CET1
2022-09-02,credit_risk_reserve,4539925.25,CET1
2022-09-02,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-09-09,paid_up_capital,22000000.00,CET1
2022-09-09,statutory_reserves,21375821.29,CET1
2022-09-09,retained_earnings,22105124.84,CET1
2022-09-09,credit_risk_reserve,4515216.17,CET1
2022-09-09,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-09-16,paid_up_capital,22000000.00,CET1
2022-09-16,statutory_reserves,21417214.19,CET1
2022-09-16,retained_earnings,22153416.56,CET1
2022-09-16,credit_risk_reserve,4511759.96,CET1
2022-09-16,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-09-23,paid_up_capital,22000000.00,CET1
2022-09-23,statutory_reserves,21458607.10,CET1
2022-09-23,retained_earnings,22201708.28,CET1
2022-09-23,credit_risk_reserve,4618631.54,CET1
2022-09-23,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-09-30,paid_up_capital,22000000.00,CET1
2022-09-30,statutory_reserves,21500000.00,CET1
2022-09-30,retained_earnings,22250000.00,CET1
2022-09-30,credit_risk_reserve,4547600.72,CET1
2022-09-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-10-07,paid_up_capital,22000000.00,CET1
2022-10-07,statutory_reserves,21541392.90,CET1
2022-10-07,retained_earnings,22298291.72,CET1
2022-10-07,credit_risk_reserve,4479976.02,CET1
2022-10-07,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-10-14,paid_up_capital,22000000.00,CET1
2022-10-14,statutory_reserves,21582785.81,CET1
2022-10-14,retained_earnings,22346583.44,CET1
2022-10-14,credit_risk_reserve,4631213.75,CET1
2022-10-14,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-10-21,paid_up_capital,22000000.00,CET1
2022-10-21,statutory_reserves,21624178.71,CET1
2022-10-21,retained_earnings,22394875.16,CET1
2022-10-21,credit_risk_reserve,4547438.64,CET1
2022-10-21,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-10-28,paid_up_capital,22000000.00,CET1
2022-10-28,statutory_reserves,21665571.62,CET1
2022-10-28,retained_earnings,22443166.89,CET1
2022-10-28,credit_risk_reserve,4577607.10,CET1
2022-10-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-10-31,paid_up_capital,22000000.00,CET1
2022-10-31,statutory_reserves,21683311.43,CET1
2022-10-31,retained_earnings,22463863.34,CET1
2022-10-31,credit_risk_reserve,4539818.89,CET1
2022-10-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-11-04,paid_up_capital,22000000.00,CET1
2022-11-04,statutory_reserves,21706964.52,CET1
2022-11-04,retained_earnings,22491458.61,CET1
2022-11-04,credit_risk_reserve,4608761.57,CET1
2022-11-04,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-11-11,paid_up_capital,22000000.00,CET1
2022-11-11,statutory_reserves,21748357.42,CET1
2022-11-11,retained_earnings,22539750.33,CET1
2022-11-11,credit_risk_reserve,4551926.41,CET1
2022-11-11,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-11-18,paid_up_capital,22000000.00,CET1
2022-11-18,statutory_reserves,21789750.33,CET1
2022-11-18,retained_earnings,22588042.05,CET1
2022-11-18,credit_risk_reserve,4585698.64,CET1
2022-11-18,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-11-25,paid_up_capital,22000000.00,CET1
2022-11-25,statutory_reserves,21831143.23,CET1
2022-11-25,retained_earnings,22636333.77,CET1
2022-11-25,credit_risk_reserve,4615162.15,CET1
2022-11-25,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-11-30,paid_up_capital,22000000.00,CET1
2022-11-30,statutory_reserves,21860709.59,CET1
2022-11-30,retained_earnings,22670827.86,CET1
2022-11-30,credit_risk_reserve,4584247.48,CET1
2022-11-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-12-02,paid_up_capital,22000000.00,CET1
2022-12-02,statutory_reserves,21872536.14,CET1
2022-12-02,retained_earnings,22684625.49,CET1
2022-12-02,credit_risk_reserve,4529032.82,CET1
2022-12-02,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-12-09,paid_up_capital,22000000.00,CET1
2022-12-09,statutory_reserves,21913929.04,CET1
2022-12-09,retained_earnings,22732917.21,CET1
2022-12-09,credit_risk_reserve,4604920.79,CET1
2022-12-09,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-12-16,paid_up_capital,22000000.00,CET1
2022-12-16,statutory_reserves,21955321.94,CET1
2022-12-16,retained_earnings,22781208.94,CET1
2022-12-16,credit_risk_reserve,4636868.37,CET1
2022-12-16,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-12-23,paid_up_capital,22000000.00,CET1
2022-12-23,statutory_reserves,21996714.85,CET1
2022-12-23,retained_earnings,22829500.66,CET1
2022-12-23,credit_risk_reserve,4670426.27,CET1
2022-12-23,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-12-30,paid_up_capital,22000000.00,CET1
2022-12-30,statutory_reserves,22038107.75,CET1
2022-12-30,retained_earnings,22877792.38,CET1
2022-12-30,credit_risk_reserve,4646532.51,CET1
2022-12-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-12-31,paid_up_capital,22000000.00,CET1
2022-12-31,statutory_reserves,22044021.02,CET1
2022-12-31,retained_earnings,22884691.20,CET1
2022-12-31,credit_risk_reserve,4599232.04,CET1
2022-12-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-01-06,paid_up_capital,22000000.00,CET1
2023-01-06,statutory_reserves,22079500.66,CET1
2023-01-06,retained_earnings,22926084.10,CET1
2023-01-06,credit_risk_reserve,4648497.85,CET1
2023-01-06,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-01-13,paid_up_capital,22000000.00,CET1
2023-01-13,statutory_reserves,22120893.56,CET1
2023-01-13,retained_earnings,22974375.82,CET1
2023-01-13,credit_risk_reserve,4691143.67,CET1
2023-01-13,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-01-20,paid_up_capital,22000000.00,CET1
2023-01-20,statutory_reserves,22162286.47,CET1
2023-01-20,retained_earnings,23022667.54,CET1
2023-01-20,credit_risk_reserve,4588567.38,CET1
2023-01-20,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-01-27,paid_up_capital,22000000.00,CET1
2023-01-27,statutory_reserves,22203679.37,CET1
2023-01-27,retained_earnings,23070959.26,CET1
2023-01-27,credit_risk_reserve,4584892.95,CET1
2023-01-27,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-01-31,paid_up_capital,22000000.00,CET1
2023-01-31,statutory_reserves,22227332.46,CET1
2023-01-31,retained_earnings,23098554.53,CET1
2023-01-31,credit_risk_reserve,4659514.96,CET1
2023-01-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-02-03,paid_up_capital,22000000.00,CET1
2023-02-03,statutory_reserves,22245072.27,CET1
2023-02-03,retained_earnings,23119250.99,CET1
2023-02-03,credit_risk_reserve,4658458.15,CET1
2023-02-03,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-02-10,paid_up_capital,22000000.00,CET1
2023-02-10,statutory_reserves,22286465.18,CET1
2023-02-10,retained_earnings,23167542.71,CET1
2023-02-10,credit_risk_reserve,4671841.38,CET1
2023-02-10,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-02-17,paid_up_capital,22000000.00,CET1
2023-02-17,statutory_reserves,22327858.08,CET1
2023-02-17,retained_earnings,23215834.43,CET1
2023-02-17,credit_risk_reserve,4730220.71,CET1
2023-02-17,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-02-24,paid_up_capital,22000000.00,CET1
2023-02-24,statutory_reserves,22369250.99,CET1
2023-02-24,retained_earnings,23264126.15,CET1
2023-02-24,credit_risk_reserve,4765816.11,CET1
2023-02-24,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-02-28,paid_up_capital,22000000.00,CET1
2023-02-28,statutory_reserves,22392904.07,CET1
2023-02-28,retained_earnings,23291721.42,CET1
2023-02-28,credit_risk_reserve,4776506.66,CET1
2023-02-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-03-03,paid_up_capital,22000000.00,CET1
2023-03-03,statutory_reserves,22410643.89,CET1
2023-03-03,retained_earnings,23312417.87,CET1
2023-03-03,credit_risk_reserve,4686034.15,CET1
2023-03-03,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-03-10,paid_up_capital,22000000.00,CET1
2023-03-10,statutory_reserves,22452036.79,CET1
2023-03-10,retained_earnings,23360709.59,CET1
2023-03-10,credit_risk_reserve,4782512.08,CET1
2023-03-10,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-03-17,paid_up_capital,22000000.00,CET1
2023-03-17,statutory_reserves,22493429.70,CET1
2023-03-17,retained_earnings,23409001.31,CET1
2023-03-17,credit_risk_reserve,4795617.00,CET1
2023-03-17,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-03-24,paid_up_capital,22000000.00,CET1
2023-03-24,statutory_reserves,22534822.60,CET1
2023-03-24,retained_earnings,23457293.04,CET1
2023-03-24,credit_risk_reserve,4736460.54,CET1
2023-03-24,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-03-31,paid_up_capital,22000000.00,CET1
2023-03-31,statutory_reserves,22576215.51,CET1
2023-03-31,retained_earnings,23505584.76,CET1
2023-03-31,credit_risk_reserve,4882195.58,CET1
2023-03-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-04-07,paid_up_capital,22000000.00,CET1
2023-04-07,statutory_reserves,22617608.41,CET1
2023-04-07,retained_earnings,23553876.48,CET1
2023-04-07,credit_risk_reserve,4861223.50,CET1
2023-04-07,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-04-14,paid_up_capital,22000000.00,CET1
2023-04-14,statutory_reserves,22659001.31,CET1
2023-04-14,retained_earnings,23602168.20,CET1
2023-04-14,credit_risk_reserve,4838248.57,CET1
2023-04-14,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-04-21,paid_up_capital,22000000.00,CET1
2023-04-21,statutory_reserves,22700394.22,CET1
2023-04-21,retained_earnings,23650459.92,CET1
2023-04-21,credit_risk_reserve,4851201.72,CET1
2023-04-21,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-04-28,paid_up_capital,22000000.00,CET1
2023-04-28,statutory_reserves,22741787.12,CET1
2023-04-28,retained_earnings,23698751.64,CET1
2023-04-28,credit_risk_reserve,4846184.87,CET1
2023-04-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-04-30,paid_up_capital,22000000.00,CET1
2023-04-30,statutory_reserves,22753613.67,CET1
2023-04-30,retained_earnings,23712549.28,CET1
2023-04-30,credit_risk_reserve,4860218.46,CET1
2023-04-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-05-05,paid_up_capital,22000000.00,CET1
2023-05-05,statutory_reserves,22783180.03,CET1
2023-05-05,retained_earnings,23747043.36,CET1
2023-05-05,credit_risk_reserve,4844341.70,CET1
2023-05-05,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-05-12,paid_up_capital,22000000.00,CET1
2023-05-12,statutory_reserves,22824572.93,CET1
2023-05-12,retained_earnings,23795335.09,CET1
2023-05-12,credit_risk_reserve,4835102.54,CET1
2023-05-12,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-05-19,paid_up_capital,22000000.00,CET1
2023-05-19,statutory_reserves,22865965.83,CET1
2023-05-19,retained_earnings,23843626.81,CET1
2023-05-19,credit_risk_reserve,4801215.24,CET1
2023-05-19,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-05-26,paid_up_capital,22000000.00,CET1
2023-05-26,statutory_reserves,22907358.74,CET1
2023-05-26,retained_earnings,23891918.53,CET1
2023-05-26,credit_risk_reserve,4932012.82,CET1
2023-05-26,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-05-31,paid_up_capital,22000000.00,CET1
2023-05-31,statutory_reserves,22936925.10,CET1
2023-05-31,retained_earnings,23926412.61,CET1
2023-05-31,credit_risk_reserve,4885381.05,CET1
2023-05-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-06-02,paid_up_capital,22000000.00,CET1
2023-06-02,statutory_reserves,22948751.64,CET1
2023-06-02,retained_earnings,23940210.25,CET1
2023-06-02,credit_risk_reserve,4947752.03,CET1
2023-06-02,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-06-09,paid_up_capital,22000000.00,CET1
2023-06-09,statutory_reserves,22990144.55,CET1
2023-06-09,retained_earnings,23988501.97,CET1
2023-06-09,credit_risk_reserve,4952722.63,CET1
2023-06-09,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-06-16,paid_up_capital,22000000.00,CET1
2023-06-16,statutory_reserves,23031537.45,CET1
2023-06-16,retained_earnings,24036793.69,CET1
2023-06-16,credit_risk_reserve,4944333.61,CET1
2023-06-16,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-06-23,paid_up_capital,22000000.00,CET1
2023-06-23,statutory_reserves,23072930.35,CET1
2023-06-23,retained_earnings,24085085.41,CET1
2023-06-23,credit_risk_reserve,4940195.70,CET1
2023-06-23,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-06-30,paid_up_capital,22000000.00,CET1
2023-06-30,statutory_reserves,23114323.26,CET1
2023-06-30,retained_earnings,24133377.14,CET1
2023-06-30,credit_risk_reserve,5044621.97,CET1
2023-06-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-07-07,paid_up_capital,22000000.00,CET1
2023-07-07,statutory_reserves,23155716.16,CET1
2023-07-07,retained_earnings,24181668.86,CET1
2023-07-07,credit_risk_reserve,4999357.34,CET1
2023-07-07,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-07-14,paid_up_capital,22000000.00,CET1
2023-07-14,statutory_reserves,23197109.07,CET1
2023-07-14,retained_earnings,24229960.58,CET1
2023-07-14,credit_risk_reserve,4991876.29,CET1
2023-07-14,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-07-21,paid_up_capital,22000000.00,CET1
2023-07-21,statutory_reserves,23238501.97,CET1
2023-07-21,retained_earnings,24278252.30,CET1
2023-07-21,credit_risk_reserve,5062850.23,CET1
2023-07-21,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-07-28,paid_up_capital,22000000.00,CET1
2023-07-28,statutory_reserves,23279894.88,CET1
2023-07-28,retained_earnings,24326544.02,CET1
2023-07-28,credit_risk_reserve,5055036.09,CET1
2023-07-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-07-31,paid_up_capital,22000000.00,CET1
2023-07-31,statutory_reserves,23297634.69,CET1
2023-07-31,retained_earnings,24347240.47,CET1
2023-07-31,credit_risk_reserve,5101566.15,CET1
2023-07-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-08-04,paid_up_capital,22000000.00,CET1
2023-08-04,statutory_reserves,23321287.78,CET1
2023-08-04,retained_earnings,24374835.74,CET1
2023-08-04,credit_risk_reserve,5099270.07,CET1
2023-08-04,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-08-11,paid_up_capital,22000000.00,CET1
2023-08-11,statutory_reserves,23362680.68,CET1
2023-08-11,retained_earnings,24423127.46,CET1
2023-08-11,credit_risk_reserve,5138033.30,CET1
2023-08-11,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-08-18,paid_up_capital,22000000.00,CET1
2023-08-18,statutory_reserves,23404073.59,CET1
2023-08-18,retained_earnings,24471419.19,CET1
2023-08-18,credit_risk_reserve,5046894.22,CET1
2023-08-18,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-08-25,paid_up_capital,22000000.00,CET1
2023-08-25,statutory_reserves,23445466.49,CET1
2023-08-25,retained_earnings,24519710.91,CET1
2023-08-25,credit_risk_reserve,5163104.17,CET1
2023-08-25,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-08-31,paid_up_capital,22000000.00,CET1
2023-08-31,statutory_reserves,23480946.12,CET1
2023-08-31,retained_earnings,24561103.81,CET1
2023-08-31,credit_risk_reserve,5184014.26,CET1
2023-08-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-09-01,paid_up_capital,22000000.00,CET1
2023-09-01,statutory_reserves,23486859.40,CET1
2023-09-01,retained_earnings,24568002.63,CET1
2023-09-01,credit_risk_reserve,5202791.88,CET1
2023-09-01,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-09-08,paid_up_capital,22000000.00,CET1
2023-09-08,statutory_reserves,23528252.30,CET1
2023-09-08,retained_earnings,24616294.35,CET1
2023-09-08,credit_risk_reserve,5167240.09,CET1
2023-09-08,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-09-15,paid_up_capital,22000000.00,CET1
2023-09-15,statutory_reserves,23569645.20,CET1
2023-09-15,retained_earnings,24664586.07,CET1
2023-09-15,credit_risk_reserve,5194667.18,CET1
2023-09-15,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-09-22,paid_up_capital,22000000.00,CET1
2023-09-22,statutory_reserves,23611038.11,CET1
2023-09-22,retained_earnings,24712877.79,CET1
2023-09-22,credit_risk_reserve,5171654.69,CET1
2023-09-22,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-09-29,paid_up_capital,22000000.00,CET1
2023-09-29,statutory_reserves,23652431.01,CET1
2023-09-29,retained_earnings,24761169.51,CET1
2023-09-29,credit_risk_reserve,5167505.34,CET1
2023-09-29,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-09-30,paid_up_capital,22000000.00,CET1
2023-09-30,statutory_reserves,23658344.28,CET1
2023-09-30,retained_earnings,24768068.33,CET1
2023-09-30,credit_risk_reserve,5262683.18,CET1
2023-09-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-10-06,paid_up_capital,22000000.00,CET1
2023-10-06,statutory_reserves,23693823.92,CET1
2023-10-06,retained_earnings,24809461.24,CET1
2023-10-06,credit_risk_reserve,5179610.83,CET1
2023-10-06,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-10-13,paid_up_capital,22000000.00,CET1
2023-10-13,statutory_reserves,23735216.82,CET1
2023-10-13,retained_earnings,24857752.96,CET1
2023-10-13,credit_risk_reserve,5179712.27,CET1
2023-10-13,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-10-20,paid_up_capital,22000000.00,CET1
2023-10-20,statutory_reserves,23776609.72,CET1
2023-10-20,retained_earnings,24906044.68,CET1
2023-10-20,credit_risk_reserve,5249555.14,CET1
2023-10-20,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-10-27,paid_up_capital,22000000.00,CET1
2023-10-27,statutory_reserves,23818002.63,CET1
2023-10-27,retained_earnings,24954336.40,CET1
2023-10-27,credit_risk_reserve,5209042.21,CET1
2023-10-27,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-10-31,paid_up_capital,22000000.00,CET1
2023-10-31,statutory_reserves,23841655.72,CET1
2023-10-31,retained_earnings,24981931.67,CET1
2023-10-31,credit_risk_reserve,5185809.20,CET1
2023-10-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-11-03,paid_up_capital,22000000.00,CET1
2023-11-03,statutory_reserves,23859395.53,CET1
2023-11-03,retained_earnings,25002628.12,CET1
2023-11-03,credit_risk_reserve,5223996.64,CET1
2023-11-03,intangible_assets,-1200000.00,CET1_DEDUCTION
2023-11-10,paid_up_capital,22000000.00,CET1
2023-11-10,statutory_reserves,23900788.44,CET1
