as_of_date,source_reference,account_code,name,account_class,currency,balance
2021-04-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-04-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18070302.23
2021-04-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,18248685.94
2021-05-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13560634.10
2021-05-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,29143316.23
2021-05-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,64229118.08
2021-05-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,290915768.27
2021-05-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-26390328.45
2021-05-31,GL-1900,GL-1900,Other assets,ASSET,GHS,29126990.34
2021-05-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,331911976.33
2021-05-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,9957359.29
2021-05-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-05-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18253613.67
2021-05-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,18462549.28
2021-06-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13976944.73
2021-06-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30157526.68
2021-06-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66228505.75
2021-06-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,292253844.16
2021-06-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-26649177.23
2021-06-30,GL-1900,GL-1900,Other assets,ASSET,GHS,33794226.04
2021-06-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,340447907.28
2021-06-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10213437.22
2021-06-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-06-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18431011.83
2021-06-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,18669513.80
2021-07-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13399903.33
2021-07-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30686692.64
2021-07-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,63450333.66
2021-07-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,293668343.90
2021-07-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-26682550.18
2021-07-31,GL-1900,GL-1900,Other assets,ASSET,GHS,31197174.10
2021-07-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,336138055.38
2021-07-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10084141.66
2021-07-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-07-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18614323.26
2021-07-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,18883377.14
2021-08-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13294319.32
2021-08-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31194742.88
2021-08-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,63305583.52
2021-08-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,295865366.60
2021-08-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-26942764.14
2021-08-31,GL-1900,GL-1900,Other assets,ASSET,GHS,32241619.73
2021-08-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,338897080.34
2021-08-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10166912.41
2021-08-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-08-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18797634.69
2021-08-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19097240.47
2021-09-03,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13728553.89
2021-09-03,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31266737.75
2021-09-03,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,64882336.61
2021-09-03,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,296042385.26
2021-09-03,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-26708136.44
2021-09-03,GL-1900,GL-1900,Other assets,ASSET,GHS,37090267.65
2021-09-03,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,345989158.52
2021-09-03,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10379674.76
2021-09-03,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-09-03,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18815374.51
2021-09-03,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19117936.93
2021-09-10,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13786969.73
2021-09-10,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31572648.38
2021-09-10,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,65803887.68
2021-09-10,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,296262232.36
2021-09-10,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-26916234.93
2021-09-10,GL-1900,GL-1900,Other assets,ASSET,GHS,36963436.67
2021-09-10,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,347038780.42
2021-09-10,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10411163.41
2021-09-10,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-09-10,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18856767.41
2021-09-10,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19166228.65
2021-09-17,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,14218750.00
2021-09-17,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30667836.45
2021-09-17,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,67853261.27
2021-09-17,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,296998069.87
2021-09-17,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-27056096.87
2021-09-17,GL-1900,GL-1900,Other assets,ASSET,GHS,35261057.08
2021-09-17,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,347407958.37
2021-09-17,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10422238.75
2021-09-17,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-09-17,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18898160.32
2021-09-17,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19214520.37
2021-09-24,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13860567.84
2021-09-24,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31563210.90
2021-09-24,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,65537467.97
2021-09-24,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,296917575.53
2021-09-24,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-27617587.99
2021-09-24,GL-1900,GL-1900,Other assets,ASSET,GHS,37134905.81
2021-09-24,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,346790072.57
2021-09-24,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10403702.18
2021-09-24,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-09-24,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18939553.22
2021-09-24,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19262812.09
2021-09-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13732398.04
2021-09-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31450961.10
2021-09-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,65052034.55
2021-09-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,297712945.25
2021-09-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-27582934.46
2021-09-30,GL-1900,GL-1900,Other assets,ASSET,GHS,37473774.79
2021-09-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,347145574.21
2021-09-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10414367.23
2021-09-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-09-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18975032.85
2021-09-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19304204.99
2021-10-01,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13872126.43
2021-10-01,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,29741805.14
2021-10-01,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66079248.89
2021-10-01,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,298107235.06
2021-10-01,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-27693036.46
2021-10-01,GL-1900,GL-1900,Other assets,ASSET,GHS,30918708.93
2021-10-01,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,340518483.55
2021-10-01,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10215554.51
2021-10-01,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-10-01,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,18980946.12
2021-10-01,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19311103.81
2021-10-08,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13766884.48
2021-10-08,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30541470.44
2021-10-08,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,65555054.32
2021-10-08,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,298479414.99
2021-10-08,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-27991368.14
2021-10-08,GL-1900,GL-1900,Other assets,ASSET,GHS,31250676.15
2021-10-08,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,340990677.36
2021-10-08,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10229720.32
2021-10-08,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-10-08,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19022339.03
2021-10-08,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19359395.53
2021-10-15,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13970794.07
2021-10-15,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,29968059.98
2021-10-15,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66080746.73
2021-10-15,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,299020916.92
2021-10-15,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28050494.54
2021-10-15,GL-1900,GL-1900,Other assets,ASSET,GHS,31468688.15
2021-10-15,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,341735235.08
2021-10-15,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10252057.05
2021-10-15,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-10-15,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19063731.93
2021-10-15,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19407687.25
2021-10-22,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13430977.52
2021-10-22,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31639427.69
2021-10-22,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,63969837.61
2021-10-22,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,298977851.98
2021-10-22,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28198480.89
2021-10-22,GL-1900,GL-1900,Other assets,ASSET,GHS,33937517.73
2021-10-22,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,342908764.88
2021-10-22,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10287262.95
2021-10-22,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-10-22,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19105124.84
2021-10-22,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19455978.98
2021-10-29,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13843758.38
2021-10-29,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30776928.82
2021-10-29,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66089644.58
2021-10-29,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,300206659.92
2021-10-29,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28347456.57
2021-10-29,GL-1900,GL-1900,Other assets,ASSET,GHS,31882277.03
2021-10-29,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,343496139.54
2021-10-29,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10304884.19
2021-10-29,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-10-29,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19146517.74
2021-10-29,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19504270.70
2021-10-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13548285.70
2021-10-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30921274.25
2021-10-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,64651302.14
2021-10-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,299902189.15
2021-10-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-27965040.75
2021-10-31,GL-1900,GL-1900,Other assets,ASSET,GHS,33029819.91
2021-10-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,343117881.35
2021-10-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10293536.44
2021-10-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-10-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19158344.28
2021-10-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19518068.33
2021-11-05,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13490762.04
2021-11-05,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31769764.05
2021-11-05,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,63753639.91
2021-11-05,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,300189583.18
2021-11-05,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28281980.86
2021-11-05,GL-1900,GL-1900,Other assets,ASSET,GHS,33203335.76
2021-11-05,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,343091874.78
2021-11-05,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10292756.24
2021-11-05,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-11-05,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19187910.64
2021-11-05,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19552562.42
2021-11-12,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13681429.27
2021-11-12,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31277755.45
2021-11-12,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,64672874.01
2021-11-12,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,300413048.92
2021-11-12,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28172856.46
2021-11-12,GL-1900,GL-1900,Other assets,ASSET,GHS,31985890.78
2021-11-12,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,342745615.81
2021-11-12,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10282368.47
2021-11-12,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-11-12,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19229303.55
2021-11-12,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19600854.14
2021-11-19,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13392240.90
2021-11-19,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31437394.45
2021-11-19,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,63331860.16
2021-11-19,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,300965836.42
2021-11-19,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28216035.38
2021-11-19,GL-1900,GL-1900,Other assets,ASSET,GHS,32936467.85
2021-11-19,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,342648468.05
2021-11-19,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10279454.04
2021-11-19,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-11-19,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19270696.45
2021-11-19,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19649145.86
2021-11-26,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13901003.75
2021-11-26,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30727941.47
2021-11-26,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66233708.50
2021-11-26,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,301541720.75
2021-11-26,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28451649.82
2021-11-26,GL-1900,GL-1900,Other assets,ASSET,GHS,31313996.34
2021-11-26,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,343939023.35
2021-11-26,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10318170.70
2021-11-26,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-11-26,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19312089.36
2021-11-26,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19697437.58
2021-11-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13920859.98
2021-11-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30832022.78
2021-11-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66424159.52
2021-11-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,301744743.29
2021-11-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28463931.45
2021-11-30,GL-1900,GL-1900,Other assets,ASSET,GHS,31482784.25
2021-11-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,344543556.38
2021-11-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10336306.69
2021-11-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-11-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19335742.44
2021-11-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19725032.85
2021-12-03,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13602365.26
2021-12-03,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,32099758.50
2021-12-03,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,64450293.14
2021-12-03,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,301565181.18
2021-12-03,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28399444.73
2021-12-03,GL-1900,GL-1900,Other assets,ASSET,GHS,34556121.01
2021-12-03,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,346383556.11
2021-12-03,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10391506.68
2021-12-03,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-12-03,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19353482.26
2021-12-03,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19745729.30
2021-12-10,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,14051054.21
2021-12-10,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31238876.25
2021-12-10,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66583131.78
2021-12-10,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,302299209.06
2021-12-10,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28562649.08
2021-12-10,GL-1900,GL-1900,Other assets,ASSET,GHS,33199606.06
2021-12-10,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,347204205.92
2021-12-10,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10416126.18
2021-12-10,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-12-10,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19394875.16
2021-12-10,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19794021.02
2021-12-17,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13921402.64
2021-12-17,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30770320.70
2021-12-17,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66303316.60
2021-12-17,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,302726208.90
2021-12-17,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28458954.65
2021-12-17,GL-1900,GL-1900,Other assets,ASSET,GHS,33392425.73
2021-12-17,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,346967125.34
2021-12-17,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10409013.76
2021-12-17,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-12-17,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19436268.07
2021-12-17,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19842312.75
2021-12-24,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,14249780.45
2021-12-24,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30681681.67
2021-12-24,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,67382415.73
2021-12-24,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,302875211.47
2021-12-24,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28499297.96
2021-12-24,GL-1900,GL-1900,Other assets,ASSET,GHS,31817766.35
2021-12-24,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,346737176.95
2021-12-24,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10402115.31
2021-12-24,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-12-24,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19477660.97
2021-12-24,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19890604.47
2021-12-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,14034227.17
2021-12-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31198253.79
2021-12-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66469072.18
2021-12-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,303650070.41
2021-12-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28569210.65
2021-12-31,GL-1900,GL-1900,Other assets,ASSET,GHS,34426177.98
2021-12-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,349272466.80
2021-12-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10478174.00
2021-12-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2021-12-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19519053.88
2021-12-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19938896.19
2022-01-07,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13638604.62
2022-01-07,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,32130795.84
2022-01-07,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,64993794.50
2022-01-07,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,303455305.44
2022-01-07,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28555366.33
2022-01-07,GL-1900,GL-1900,Other assets,ASSET,GHS,34635849.66
2022-01-07,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,348302280.62
2022-01-07,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10449068.42
2022-01-07,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2022-01-07,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19560446.78
2022-01-07,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,19987187.91
2022-01-14,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,14142924.98
2022-01-14,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,31435733.60
2022-01-14,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,66971780.73
2022-01-14,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,304871814.28
2022-01-14,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28729020.27
2022-01-14,GL-1900,GL-1900,Other assets,ASSET,GHS,32923037.12
2022-01-14,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,349494127.31
2022-01-14,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10484823.82
2022-01-14,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2022-01-14,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19601839.68
2022-01-14,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,20035479.63
2022-01-21,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,13780392.65
2022-01-21,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,32398436.29
2022-01-21,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,65292109.42
2022-01-21,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,304871200.75
2022-01-21,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28592617.39
2022-01-21,GL-1900,GL-1900,Other assets,ASSET,GHS,34878373.28
2022-01-21,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,350389214.63
2022-01-21,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10511676.44
2022-01-21,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2022-01-21,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,19643232.59
2022-01-21,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,20083771.35
2022-01-28,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,14285001.77
2022-01-28,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,30629203.99
2022-01-28,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,68018732.63
2022-01-28,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,305622153.93
2022-01-28,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-28520464.00
2022-01-28,GL-1900,GL-1900,Other assets,ASSET,GHS,32883666.43
2022-01-28,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,350584083.66
2022-01-28,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,10517522.51
