# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — LOAN book re-push as at 2026-06-30 adding the BoG prudential-return attributes (docs/API_INTEGRATION.md §3.4): sector (BSD4 taxonomy), ownership, facility_type, bog_classification + days_past_due, interest_in_suspense_ghs, ecl_provision_ghs. Every typed field and pre-existing attribute of the current generation is resent because a re-push supersedes the snapshot whole. Push with: uv run python scripts/ingest_push.py --entity position=onboarding/sample_bank/loans_attributes_repush.csv --as-of 2026-06-30 ...
source_reference,position_type,currency,balance,notional,counterparty_reference,product_code,gl_account_code,origination_date,contractual_maturity,next_repricing_date,interest_rate,rate_type,rate_index,rate_spread,ifrs9_stage,attributes.balance_ghs,attributes.branch_id,attributes.months_on_book,attributes.scheduled_principal_ghs,attributes.interest_accrued_ghs,attributes.sector,attributes.ownership,attributes.facility_type,attributes.bog_classification,attributes.days_past_due,attributes.interest_in_suspense_ghs,attributes.ecl_provision_ghs
AA.ARRANGEMENT/1211625,LOAN,GHS,108520.29,137228.71,SBL-CUST-012791,LN.RET.PERS,1301,2024-06-26,2029-01-31,2029-01-31,0.3329,FIXED,,,1,108520.29,BR-001,15,2301.84,3074.39,agriculture.other,,scheduled,current,0,,542.60
AA.ARRANGEMENT/1211627,LOAN,GHS,14609.3,30614.01,SBL-CUST-007522,LN.RET.PERS,1301,2025-01-10,2027-05-30,2027-05-30,0.3088,FIXED,,,3,14609.3,BR-007,15,1267.02,408.55,services.salary_credit,,scheduled,doubtful,303,2632.65,8035.12
AA.ARRANGEMENT/1211637,LOAN,GHS,11330.12,32814.09,SBL-CUST-004957,LN.RET.PERS,1301,2022-11-21,2027-01-29,2027-01-29,0.3268,FIXED,,,1,11330.12,BR-011,15,1717.06,355.32,services.salary_credit,,scheduled,current,27,,56.65
AA.ARRANGEMENT/1211639,LOAN,GHS,2403.08,3298.1,SBL-CUST-006618,LN.RET.PERS,1301,2025-01-06,2028-07-19,2028-07-19,0.3166,FIXED,,,1,2403.08,BR-004,15,71.15,65.28,services.salary_credit,,scheduled,current,0,,12.02
AA.ARRANGEMENT/1211643,LOAN,GHS,92619.15,142709.13,SBL-CUST-013234,LN.RET.PERS,1301,2025-03-31,2028-02-14,2028-02-14,0.3147,FIXED,,,1,92619.15,BR-004,15,3987.62,2533.51,services.salary_credit,,scheduled,current,0,,463.10
AA.ARRANGEMENT/1211647,LOAN,GHS,1350.5,2548.09,SBL-CUST-005014,LN.RET.PERS,1301,2024-12-14,2027-08-01,2027-08-01,0.3111,FIXED,,,1,1350.5,BR-004,15,94.92,37.47,agriculture.other,,scheduled,current,0,,6.75
AA.ARRANGEMENT/1211655,LOAN,GHS,52565.93,72864.74,SBL-CUST-003233,LN.RET.PERS,1301,2025-01-03,2028-07-16,2028-07-16,0.3196,FIXED,,,1,52565.93,BR-009,15,1642.14,1443.74,services.salary_credit,,scheduled,current,0,,262.83
AA.ARRANGEMENT/1211661,LOAN,GHS,8978.93,45124.93,SBL-CUST-003878,LN.RET.PERS,1301,2025-03-27,2026-11-17,2026-11-17,0.3,FIXED,,,1,8978.93,BR-009,15,2848.18,295.68,services.salary_credit,,scheduled,current,20,,44.89
AA.ARRANGEMENT/1211663,LOAN,GHS,7722.76,9947.52,SBL-CUST-001486,LN.RET.PERS,1301,2025-03-27,2029-01-05,2029-01-05,0.314,FIXED,,,2,7722.76,BR-012,15,176.61,206.7,services.salary_credit,,scheduled,olem,61,,308.91
AA.ARRANGEMENT/1211685,LOAN,GHS,1584.87,2243.4,SBL-CUST-005419,LN.RET.PERS,1301,2024-07-25,2028-06-04,2028-06-04,0.3206,FIXED,,,1,1584.87,BR-012,15,52.46,43.74,services.salary_credit,,scheduled,current,0,,7.92
AA.ARRANGEMENT/1211696,LOAN,GHS,64157.97,121223.61,SBL-CUST-003118,LN.RET.PERS,1301,2025-02-26,2027-08-15,2027-08-15,0.3083,FIXED,,,1,64157.97,BR-009,15,4516.44,1764.36,services.salary_credit,,scheduled,current,0,,320.79
AA.ARRANGEMENT/1211710,LOAN,GHS,17062.28,38155.46,SBL-CUST-004474,LN.RET.PERS,1301,2024-10-24,2027-05-12,2027-05-12,0.3064,FIXED,,,1,17062.28,BR-005,15,1667.73,478.24,services.salary_credit,,scheduled,current,0,,85.31
AA.ARRANGEMENT/1211722,LOAN,GHS,26038.55,67684.61,SBL-CUST-012600,LN.RET.PERS,1301,2022-04-09,2027-03-14,2027-03-14,0.3294,FIXED,,,1,26038.55,BR-010,15,3333.03,806.25,commerce.other,,scheduled,current,0,,130.19
AA.ARRANGEMENT/1211726,LOAN,GHS,920.59,3074.75,SBL-CUST-011409,LN.RET.PERS,1301,2024-06-11,2026-12-28,2026-12-28,0.3085,FIXED,,,1,920.59,BR-004,15,170.51,28.05,transport.road,,scheduled,current,0,,4.60
AA.ARRANGEMENT/1211729,LOAN,GHS,23701.29,32482.25,SBL-CUST-004128,LN.RET.PERS,1301,2024-11-27,2028-08-08,2028-08-08,0.3198,FIXED,,,1,23701.29,BR-001,15,699.21,650.27,services.personal,,scheduled,current,0,,118.51
AA.ARRANGEMENT/1211739,LOAN,GHS,1621.91,2489.96,SBL-CUST-002238,LN.RET.PERS,1301,2024-04-03,2028-02-12,2028-02-12,0.3242,FIXED,,,1,1621.91,BR-002,15,69.28,45.69,commerce.other,,scheduled,current,0,,8.11
AA.ARRANGEMENT/1211741,LOAN,GHS,6958.31,27467.18,SBL-CUST-003662,LN.RET.PERS,1301,2023-11-30,2026-12-14,2026-12-14,0.3157,FIXED,,,1,6958.31,BR-006,15,1629.54,225.93,services.salary_credit,,scheduled,current,0,,34.79
AA.ARRANGEMENT/1211753,LOAN,GHS,1285.47,4856.2,SBL-CUST-005994,LN.RET.PERS,1301,2024-09-06,2026-12-25,2026-12-25,0.3089,FIXED,,,1,1285.47,BR-003,15,301.46,40.85,services.salary_credit,,scheduled,current,16,,6.43
AA.ARRANGEMENT/1211760,LOAN,GHS,80963.16,131690.16,SBL-CUST-005764,LN.RET.PERS,1301,2024-11-16,2027-12-01,2027-12-01,0.3154,FIXED,,,1,80963.16,BR-001,15,4029.9,2233.9,services.salary_credit,,scheduled,current,0,,404.82
AA.ARRANGEMENT/1211778,LOAN,GHS,158.3,2107.33,SBL-CUST-012020,LN.RET.PERS,1301,2024-09-29,2026-09-19,2026-09-19,0.3091,FIXED,,,1,158.3,BR-004,15,154.32,8.05,services.salary_credit,,scheduled,current,0,,0.79
AA.ARRANGEMENT/1211780,LOAN,GHS,6616.28,25985.49,SBL-CUST-001119,LN.RET.PERS,1301,2024-08-04,2026-12-22,2026-12-22,0.3082,FIXED,,,1,6616.28,BR-002,15,1551.84,209.78,agriculture.other,,scheduled,current,0,,33.08
AA.ARRANGEMENT/1211797,LOAN,GHS,2893.74,38407.99,SBL-CUST-007300,LN.RET.PERS,1301,2023-12-27,2026-09-12,2026-09-12,0.3144,FIXED,,,1,2893.74,BR-010,15,2819.86,149.7,services.salary_credit,,scheduled,current,0,,14.47
AA.ARRANGEMENT/1211804,LOAN,GHS,562.33,2790.2,SBL-CUST-002635,LN.RET.PERS,1301,2022-01-08,2026-11-13,2026-11-13,0.323,FIXED,,,3,562.33,BR-007,15,177.7,19.92,services.salary_credit,,scheduled,doubtful,352,130.38,309.28
AA.ARRANGEMENT/1211816,LOAN,GHS,2599.46,5140.19,SBL-CUST-007590,LN.RET.PERS,1301,2025-01-09,2027-06-28,2027-06-28,0.3141,FIXED,,,1,2599.46,BR-009,15,201.7,73.32,services.salary_credit,,scheduled,current,21,,13.00
AA.ARRANGEMENT/1211833,LOAN,GHS,3238.18,3896.39,SBL-CUST-014128,LN.RET.PERS,1301,2024-12-24,2029-07-31,2029-07-31,0.3271,FIXED,,,1,3238.18,BR-004,15,52.61,89.7,services.salary_credit,,scheduled,current,0,,16.19
AA.ARRANGEMENT/1211841,LOAN,GHS,6239.59,24487.61,SBL-CUST-000496,LN.RET.PERS,1301,2023-09-21,2026-12-04,2026-12-04,0.3263,FIXED,,,1,6239.59,BR-004,15,1458.05,209.31,services.salary_credit,,scheduled,current,0,,31.20
AA.ARRANGEMENT/1211845,LOAN,GHS,28021.31,38395.93,SBL-CUST-008635,LN.RET.PERS,1301,2024-12-26,2028-08-07,2028-08-07,0.3202,FIXED,,,1,28021.31,BR-009,15,826.28,769.75,services.personal,,scheduled,current,0,,140.11
AA.ARRANGEMENT/1211853,LOAN,GHS,8064.09,12120.47,SBL-CUST-013371,LN.RET.PERS,1301,2024-10-09,2028-02-21,2028-02-21,0.3196,FIXED,,,1,8064.09,BR-006,15,322.97,223.38,services.salary_credit,,scheduled,current,0,,40.32
AA.ARRANGEMENT/1211854,LOAN,GHS,5240.13,9873.31,SBL-CUST-012933,LN.RET.PERS,1301,2024-05-27,2027-08-10,2027-08-10,0.3138,FIXED,,,1,5240.13,BR-002,15,367.76,146.65,agriculture.other,,scheduled,current,0,,26.20
AA.ARRANGEMENT/1211859,LOAN,GHS,5944.38,7807.63,SBL-CUST-007473,LN.RET.PERS,1301,2024-10-19,2028-10-28,2028-10-28,0.3229,FIXED,,,1,5944.38,BR-007,15,148.61,163.95,services.salary_credit,,scheduled,current,0,,29.72
AA.ARRANGEMENT/1211861,LOAN,GHS,15186.94,36341.32,SBL-CUST-002037,LN.RET.PERS,1301,2024-03-20,2027-04-04,2027-04-04,0.3191,FIXED,,,1,15186.94,BR-010,15,1683.86,448.62,services.salary_credit,,scheduled,current,0,,75.93
AA.ARRANGEMENT/1211869,LOAN,GHS,5046.15,9213.98,SBL-CUST-000473,LN.RET.PERS,1301,2024-07-09,2027-08-23,2027-08-23,0.3188,FIXED,,,1,5046.15,BR-003,15,353.17,143.44,commerce.other,,scheduled,current,0,,25.23
AA.ARRANGEMENT/1211872,LOAN,GHS,1385.66,2222.96,SBL-CUST-010018,LN.RET.PERS,1301,2024-04-09,2027-12-20,2027-12-20,0.3179,FIXED,,,1,1385.66,BR-012,15,68.84,38.53,services.salary_credit,,scheduled,current,0,,6.93
AA.ARRANGEMENT/1211888,LOAN,GHS,87879.95,114146.53,SBL-CUST-012894,LN.RET.PERS,1301,2024-03-14,2028-11-18,2028-11-18,0.3209,FIXED,,,1,87879.95,BR-006,15,2092.77,2406.02,services.salary_credit,,scheduled,current,0,,439.40
AA.ARRANGEMENT/1211893,LOAN,GHS,22077.39,30586.26,SBL-CUST-004736,LN.RET.PERS,1301,2024-01-27,2028-07-04,2028-07-04,0.3308,FIXED,,,1,22077.39,BR-002,15,681.49,627.39,commerce.other,,scheduled,current,0,,110.39
AA.ARRANGEMENT/1211896,LOAN,GHS,2604.27,34787.63,SBL-CUST-002490,LN.RET.PERS,1301,2024-10-19,2026-09-09,2026-09-09,0.3031,FIXED,,,1,2604.27,BR-011,15,2540.12,129.94,services.salary_credit,,scheduled,current,0,,13.02
AA.ARRANGEMENT/1211902,LOAN,GHS,36252.72,121063.33,SBL-CUST-012845,LN.RET.PERS,1301,2025-01-18,2027-01-08,2027-01-08,0.3088,FIXED,,,3,36252.72,BR-007,15,6714.09,1105.68,services.salary_credit,,scheduled,doubtful,311,6778.25,19939.00
AA.ARRANGEMENT/1211918,LOAN,GHS,7072.65,8470.29,SBL-CUST-003929,LN.RET.PERS,1301,2024-10-09,2029-08-14,2029-08-14,0.3207,FIXED,,,1,7072.65,BR-001,15,111.34,191.99,services.salary_credit,,scheduled,current,0,,35.36
AA.ARRANGEMENT/1211922,LOAN,GHS,2834.27,3543.4,SBL-CUST-007039,LN.RET.PERS,1301,2024-04-20,2029-02-23,2029-02-23,0.3366,FIXED,,,1,2834.27,BR-005,15,56.97,81.1,transport.road,,scheduled,current,0,,14.17
AA.ARRANGEMENT/1211923,LOAN,GHS,14102.11,31410.37,SBL-CUST-002628,LN.RET.PERS,1301,2024-03-22,2027-05-06,2027-05-06,0.314,FIXED,,,1,14102.11,BR-003,15,1374,404.96,services.personal,,scheduled,current,11,,70.51
AA.ARRANGEMENT/1211931,LOAN,GHS,2100.18,3020.74,SBL-CUST-003349,LN.RET.PERS,1301,2023-11-14,2028-04-21,2028-04-21,0.3256,FIXED,,,1,2100.18,BR-005,15,73.53,58.98,services.salary_credit,,scheduled,current,0,,10.50
AA.ARRANGEMENT/1211936,LOAN,GHS,20815.24,102931.14,SBL-CUST-014215,LN.RET.PERS,1301,2022-05-22,2026-10-28,2026-10-28,0.3292,FIXED,,,2,20815.24,BR-004,15,6571.23,751.3,services.salary_credit,,scheduled,olem,43,,832.61
AA.ARRANGEMENT/1211939,LOAN,GHS,3412.62,5928.49,SBL-CUST-007865,LN.RET.PERS,1301,2024-11-09,2027-09-25,2027-09-25,0.3141,FIXED,,,1,3412.62,BR-011,15,199.73,94.55,services.salary_credit,,scheduled,current,0,,17.06
AA.ARRANGEMENT/1211941,LOAN,GHS,2376.25,3747.34,SBL-CUST-004905,LN.RET.PERS,1301,2023-08-30,2028-01-06,2028-01-06,0.3214,FIXED,,,1,2376.25,BR-003,15,109.27,66.57,services.salary_credit,,scheduled,current,0,,11.88
AA.ARRANGEMENT/1211942,LOAN,GHS,2774.45,19007.68,SBL-CUST-001436,LN.RET.PERS,1301,2023-07-13,2026-10-25,2026-10-25,0.3146,FIXED,,,3,2774.45,BR-001,15,1334.29,107.72,services.salary_credit,,scheduled,substandard,106,38.26,832.34
AA.ARRANGEMENT/1211945,LOAN,GHS,24720.25,30203.71,SBL-CUST-004493,LN.RET.PERS,1301,2024-11-25,2029-06-02,2029-06-02,0.3275,FIXED,,,1,24720.25,BR-007,15,438.41,686.62,transport.road,,scheduled,current,16,,123.60
AA.ARRANGEMENT/1211967,LOAN,GHS,2826.15,3871.13,SBL-CUST-007687,LN.RET.PERS,1301,2025-01-21,2028-08-03,2028-08-03,0.321,FIXED,,,1,2826.15,BR-004,15,83.26,77.83,miscellaneous,,scheduled,current,0,,14.13
AA.ARRANGEMENT/1211972,LOAN,GHS,35645.13,85018.79,SBL-CUST-013935,LN.RET.PERS,1301,2022-06-27,2027-04-02,2027-04-02,0.3253,FIXED,,,1,35645.13,BR-007,15,3942.96,1073.17,services.personal,,scheduled,current,0,,178.23
AA.ARRANGEMENT/1211974,LOAN,GHS,1055.67,14029.09,SBL-CUST-000924,LN.RET.PERS,1301,2023-10-07,2026-09-21,2026-09-21,0.3122,FIXED,,,1,1055.67,BR-011,15,1028.9,54.23,services.salary_credit,,scheduled,current,0,,5.28
AA.ARRANGEMENT/1211978,LOAN,GHS,20590.74,54398.58,SBL-CUST-013034,LN.RET.PERS,1301,2025-03-27,2027-03-17,2027-03-17,0.299,FIXED,,,1,20590.74,BR-012,15,2662.53,579.39,services.salary_credit,,scheduled,current,0,,102.95
AA.ARRANGEMENT/1211980,LOAN,GHS,33508.06,71738.71,SBL-CUST-006075,LN.RET.PERS,1301,2025-02-04,2027-05-25,2027-05-25,0.3111,FIXED,,,1,33508.06,BR-009,15,3268.74,953.44,services.personal,,scheduled,current,16,,167.54
AA.ARRANGEMENT/1211986,LOAN,GHS,1783.34,23723.01,SBL-CUST-001017,LN.RET.PERS,1301,2024-12-01,2026-09-22,2026-09-22,0.3036,FIXED,,,1,1783.34,BR-009,15,1739.33,89.12,services.salary_credit,,scheduled,current,0,,8.92
AA.ARRANGEMENT/1211988,LOAN,GHS,2644.94,5513.61,SBL-CUST-011090,LN.RET.PERS,1301,2024-02-05,2027-06-19,2027-06-19,0.3159,FIXED,,,1,2644.94,BR-008,15,228.63,75.65,services.salary_credit,,scheduled,current,0,,13.22
AA.ARRANGEMENT/1212000,LOAN,GHS,1974.42,6561.55,SBL-CUST-002842,LN.RET.PERS,1301,2022-08-04,2027-01-10,2027-01-10,0.3177,FIXED,,,1,1974.42,BR-001,15,364.86,61.93,services.personal,,scheduled,current,0,,9.87
AA.ARRANGEMENT/1212009,LOAN,GHS,3769.77,4734.12,SBL-CUST-004124,LN.RET.PERS,1301,2025-01-20,2029-02-28,2029-02-28,0.3255,FIXED,,,1,3769.77,BR-012,15,77.02,104.34,services.salary_credit,,scheduled,current,0,,18.85
AA.ARRANGEMENT/1212027,LOAN,GHS,2822.75,3363.67,SBL-CUST-005984,LN.RET.PERS,1301,2024-09-19,2029-08-24,2029-08-24,0.334,FIXED,,,1,2822.75,BR-012,15,43.4,79.77,miscellaneous,,scheduled,current,0,,14.11
AA.ARRANGEMENT/1212029,LOAN,GHS,2651.37,4584.6,SBL-CUST-004886,LN.RET.PERS,1301,2023-07-07,2027-10-14,2027-10-14,0.3235,FIXED,,,1,2651.37,BR-005,15,154.24,75.63,services.salary_credit,,scheduled,current,17,,13.26
AA.ARRANGEMENT/1212051,LOAN,GHS,3471.77,45845.57,SBL-CUST-003150,LN.RET.PERS,1301,2023-09-08,2026-09-22,2026-09-22,0.3166,FIXED,,,1,3471.77,BR-011,15,3382.52,180.84,services.salary_credit,,scheduled,current,0,,17.36
AA.ARRANGEMENT/1212053,LOAN,GHS,9394.36,11693.82,SBL-CUST-005406,LN.RET.PERS,1301,2024-09-30,2029-04-07,2029-04-07,0.3241,FIXED,,,1,9394.36,BR-006,15,183.52,258.68,miscellaneous,,scheduled,current,0,,46.97
AA.ARRANGEMENT/1212055,LOAN,GHS,659.81,2587.42,SBL-CUST-006452,LN.RET.PERS,1301,2024-02-06,2026-12-22,2026-12-22,0.311,FIXED,,,3,659.81,BR-002,15,154.67,21.11,services.salary_credit,,scheduled,substandard,150,33.73,197.94
AA.ARRANGEMENT/1212062,LOAN,GHS,33733.27,66117.92,SBL-CUST-005527,LN.RET.PERS,1301,2024-07-07,2027-07-22,2027-07-22,0.3104,FIXED,,,1,33733.27,BR-001,15,2622.44,940.4,services.salary_credit,,scheduled,current,0,,168.67
AA.ARRANGEMENT/1212070,LOAN,GHS,107753.06,141985.54,SBL-CUST-012656,LN.RET.PERS,1301,2025-02-13,2028-10-25,2028-10-25,0.3154,FIXED,,,1,107753.06,BR-003,15,2719.53,2903.59,services.salary_credit,,scheduled,current,0,,538.77
AA.ARRANGEMENT/1212071,LOAN,GHS,2562.87,4126.31,SBL-CUST-009718,LN.RET.PERS,1301,2023-01-11,2027-12-16,2027-12-16,0.3345,FIXED,,,1,2562.87,BR-008,15,125.79,74.95,services.salary_credit,,scheduled,current,0,,12.81
AA.ARRANGEMENT/1212075,LOAN,GHS,18742.99,30232.45,SBL-CUST-014935,LN.RET.PERS,1301,2023-01-18,2027-11-23,2027-11-23,0.3327,FIXED,,,2,18742.99,BR-005,15,921.13,545.19,services.salary_credit,,scheduled,olem,77,,749.72
AA.ARRANGEMENT/1212085,LOAN,GHS,30022.31,62371.32,SBL-CUST-008286,LN.RET.PERS,1301,2023-06-16,2027-05-26,2027-05-26,0.3255,FIXED,,,1,30022.31,BR-009,15,2583.65,884.44,services.salary_credit,,scheduled,current,0,,150.11
AA.ARRANGEMENT/1212095,LOAN,GHS,506.02,6713.19,SBL-CUST-010214,LN.RET.PERS,1301,2022-11-30,2026-09-10,2026-09-10,0.3152,FIXED,,,1,506.02,BR-008,15,493.06,26.24,agriculture.other,,scheduled,current,28,,2.53
AA.ARRANGEMENT/1212097,LOAN,GHS,65621.33,113558.96,SBL-CUST-008913,LN.RET.PERS,1301,2024-05-31,2027-10-13,2027-10-13,0.3219,FIXED,,,1,65621.33,BR-007,15,3821.41,1862.8,services.salary_credit,,scheduled,current,0,,328.11
AA.ARRANGEMENT/1212098,LOAN,GHS,3191.59,14181.82,SBL-CUST-001104,LN.RET.PERS,1301,2024-05-10,2026-11-26,2026-11-26,0.3143,FIXED,,,1,3191.59,BR-011,15,1010.03,110.05,commerce.other,,scheduled,current,0,,15.96
AA.ARRANGEMENT/1212105,LOAN,GHS,1469.43,2257.27,SBL-CUST-010532,LN.RET.PERS,1301,2025-01-15,2028-01-30,2028-01-30,0.3229,FIXED,,,1,1469.43,BR-004,15,62.84,41.23,services.salary_credit,,scheduled,current,0,,7.35
AA.ARRANGEMENT/1212114,LOAN,GHS,17698.05,33283.7,SBL-CUST-013816,LN.RET.PERS,1301,2024-04-22,2027-08-05,2027-08-05,0.3175,FIXED,,,1,17698.05,BR-002,15,1239.54,501.06,services.salary_credit,,scheduled,current,0,,88.49
AA.ARRANGEMENT/1212116,LOAN,GHS,3274.74,4825.55,SBL-CUST-004144,LN.RET.PERS,1301,2024-08-26,2028-04-07,2028-04-07,0.316,FIXED,,,1,3274.74,BR-011,15,123.24,89.48,services.salary_credit,,scheduled,current,0,,16.37
AA.ARRANGEMENT/1212131,LOAN,GHS,10876.96,14449.5,SBL-CUST-007175,LN.RET.PERS,1301,2024-08-05,2028-10-13,2028-10-13,0.3208,FIXED,,,1,10876.96,BR-010,15,287.33,298.46,services.salary_credit,,scheduled,current,0,,54.38
AA.ARRANGEMENT/1212138,LOAN,GHS,19319.62,96931.5,SBL-CUST-006260,LN.RET.PERS,1301,2024-12-28,2026-11-18,2026-11-18,0.303,FIXED,,,1,19319.62,BR-012,15,6125.31,642.48,services.salary_credit,,scheduled,current,0,,96.60
AA.ARRANGEMENT/1212141,LOAN,GHS,27568.36,43751.94,SBL-CUST-007548,LN.RET.PERS,1301,2023-06-15,2027-12-21,2027-12-21,0.3258,FIXED,,,2,27568.36,BR-009,15,1361.75,785.45,services.salary_credit,,scheduled,olem,81,,1102.73
AA.ARRANGEMENT/1212172,LOAN,GHS,7545.76,99916.22,SBL-CUST-013901,LN.RET.PERS,1301,2023-06-24,2026-09-06,2026-09-06,0.3186,FIXED,,,1,7545.76,BR-001,15,7350.61,395.5,services.salary_credit,,scheduled,current,0,,37.73
AA.ARRANGEMENT/1212188,LOAN,GHS,2723.08,3834.21,SBL-CUST-009126,LN.RET.PERS,1301,2024-07-07,2028-06-16,2028-06-16,0.3218,FIXED,,,1,2723.08,BR-008,15,90.03,75.44,transport.road,,scheduled,current,0,,13.62
AA.ARRANGEMENT/1212210,LOAN,GHS,18430.68,36216.63,SBL-CUST-002559,LN.RET.PERS,1301,2022-08-12,2027-07-17,2027-07-17,0.3264,FIXED,,,1,18430.68,BR-004,15,1421.2,539.97,services.salary_credit,,scheduled,current,0,,92.15
AA.ARRANGEMENT/1212214,LOAN,GHS,9094.71,64575.04,SBL-CUST-007722,LN.RET.PERS,1301,2024-09-21,2026-10-11,2026-10-11,0.3035,FIXED,,,1,9094.71,BR-009,15,4379.8,340.79,services.salary_credit,,scheduled,current,0,,45.47
AA.ARRANGEMENT/1212215,LOAN,GHS,67134.81,93063.07,SBL-CUST-000825,LN.RET.PERS,1301,2024-03-31,2028-07-08,2028-07-08,0.3295,FIXED,,,1,67134.81,BR-008,15,2075.21,1900.39,services.salary_credit,,scheduled,current,0,,335.67
AA.ARRANGEMENT/1212217,LOAN,GHS,8917.15,14455.63,SBL-CUST-009764,LN.RET.PERS,1301,2024-09-25,2027-12-09,2027-12-09,0.3223,FIXED,,,1,8917.15,BR-001,15,441.6,251.36,services.personal,,scheduled,current,0,,44.59
AA.ARRANGEMENT/1212218,LOAN,GHS,7787.9,30629.28,SBL-CUST-006195,LN.RET.PERS,1301,2023-02-04,2026-12-15,2026-12-15,0.3224,FIXED,,,1,7787.9,BR-004,15,1821.31,258.17,services.personal,,scheduled,current,0,,38.94
AA.ARRANGEMENT/1212219,LOAN,GHS,77030.44,110786.05,SBL-CUST-009331,LN.RET.PERS,1301,2024-09-04,2028-05-16,2028-05-16,0.3189,FIXED,,,1,77030.44,BR-006,15,2714.45,2119.22,agriculture.other,,scheduled,current,0,,385.15
AA.ARRANGEMENT/1212221,LOAN,GHS,6397.61,18387.67,SBL-CUST-002897,LN.RET.PERS,1301,2023-01-12,2027-02-20,2027-02-20,0.3273,FIXED,,,1,6397.61,BR-003,15,969.4,200.94,services.salary_credit,,scheduled,current,0,,31.99
AA.ARRANGEMENT/1212235,LOAN,GHS,32875.42,40502.7,SBL-CUST-012123,LN.RET.PERS,1301,2024-08-29,2029-05-05,2029-05-05,0.3277,FIXED,,,1,32875.42,BR-009,15,609.88,914.43,services.salary_credit,,scheduled,current,0,,164.38
AA.ARRANGEMENT/1212250,LOAN,GHS,49155.32,72045.03,SBL-CUST-003159,LN.RET.PERS,1301,2023-10-19,2028-03-26,2028-03-26,0.3276,FIXED,,,1,49155.32,BR-005,15,1830.18,1391.9,transport.road,,scheduled,current,8,,245.78
AA.ARRANGEMENT/1212251,LOAN,GHS,1720.46,2975.66,SBL-CUST-013842,LN.RET.PERS,1301,2023-10-31,2027-10-10,2027-10-10,0.323,FIXED,,,1,1720.46,BR-006,15,100.12,49,services.salary_credit,,scheduled,current,0,,8.60
AA.ARRANGEMENT/1212259,LOAN,GHS,2317.3,3892.05,SBL-CUST-003452,LN.RET.PERS,1301,2024-12-31,2027-11-16,2027-11-16,0.3109,FIXED,,,1,2317.3,BR-009,15,125.13,63.28,services.salary_credit,,scheduled,current,0,,11.59
AA.ARRANGEMENT/1212262,LOAN,GHS,3551.38,4266.91,SBL-CUST-002064,LN.RET.PERS,1301,2024-09-14,2029-07-20,2029-07-20,0.331,FIXED,,,1,3551.38,BR-001,15,57.31,99.54,services.salary_credit,,scheduled,current,0,,17.76
AA.ARRANGEMENT/1212267,LOAN,GHS,11884.73,16893.97,SBL-CUST-008759,LN.RET.PERS,1301,2024-10-02,2028-06-13,2028-06-13,0.3099,FIXED,,,1,11884.73,BR-007,15,397.7,317.19,services.salary_credit,,scheduled,current,8,,59.42
AA.ARRANGEMENT/1212275,LOAN,GHS,1687.19,2261.02,SBL-CUST-005581,LN.RET.PERS,1301,2024-11-05,2028-09-15,2028-09-15,0.3222,FIXED,,,1,1687.19,BR-012,15,46.96,46.56,services.salary_credit,,scheduled,current,0,,8.44
AA.ARRANGEMENT/1212296,LOAN,GHS,10545.4,74942.65,SBL-CUST-009496,LN.RET.PERS,1301,2025-01-26,2026-10-18,2026-10-18,0.3019,FIXED,,,3,10545.4,BR-008,15,5079.41,393.09,services.salary_credit,,scheduled,substandard,172,715.23,3163.62
AA.ARRANGEMENT/1212297,LOAN,GHS,1052.45,3519.8,SBL-CUST-013923,LN.RET.PERS,1301,2024-05-16,2027-01-01,2027-01-01,0.3061,FIXED,,,1,1052.45,BR-004,15,195.05,31.82,miscellaneous,,scheduled,current,0,,5.26
AA.ARRANGEMENT/1212323,LOAN,GHS,2950.05,5505.4,SBL-CUST-005710,LN.RET.PERS,1301,2023-03-18,2027-07-25,2027-07-25,0.3328,FIXED,,,1,2950.05,BR-009,15,204.88,87.5,transport.road,,scheduled,current,0,,14.75
AA.ARRANGEMENT/1212334,LOAN,GHS,1073.36,3597.74,SBL-CUST-009101,LN.RET.PERS,1301,2024-12-11,2026-12-31,2026-12-31,0.302,FIXED,,,1,1073.36,BR-001,15,199.12,32.02,services.salary_credit,,scheduled,current,0,,5.37
AA.ARRANGEMENT/1212337,LOAN,GHS,12643.24,19421.92,SBL-CUST-001039,LN.RET.PERS,1301,2024-02-17,2028-01-27,2028-01-27,0.3229,FIXED,,,1,12643.24,BR-012,15,540.66,354.76,agriculture.other,,scheduled,current,0,,63.22
AA.ARRANGEMENT/1212339,LOAN,GHS,967.8,3223.98,SBL-CUST-009023,LN.RET.PERS,1301,2024-04-28,2027-01-13,2027-01-13,0.3133,FIXED,,,1,967.8,BR-010,15,179.04,29.94,services.salary_credit,,scheduled,current,0,,4.84
AA.ARRANGEMENT/1212341,LOAN,GHS,1104.42,14502.24,SBL-CUST-000258,LN.RET.PERS,1301,2024-09-04,2026-09-24,2026-09-24,0.2994,FIXED,,,1,1104.42,BR-012,15,1077.53,54.44,services.salary_credit,,scheduled,current,28,,5.52
